scientificName,vernacularName,family,status,sourceStatus
Anthochaera phrygia,Regent Honeyeater,Meliphagidae,Critically Endangered,Critically Endangered
Aprasia parapulchella,Pink-tailed Worm-lizard,Pygopodidae,Vulnerable,Vulnerable
Bettongia gaimardi,Eastern Bettong,Potoroidae,Conservation Dependent,Regionally Conservation Dependent
Bidyanus bidyanus,Silver Perch,Terapontidae,Endangered,Endangered
Bossiaea grayi,Murrumbidgee Bossiaea,Fabaceae,Endangered,Endangered
Botaurus poiciloptilus,Australasian Bittern,Ardeidae,Endangered,Endangered
Caladenia actensis,Canberra Spider Orchid,Orchidaceae,Critically Endangered,Critically Endangered
Calyptorhynchus lathami lathami,Glossy Black-cockatoo,Cacatuidae,Vulnerable,Vulnerable
Climacteris picumnus victoriae,Brown Treecreeper,Climacteridae,Vulnerable,Vulnerable
Corunastylis ectopa,Brindabella Midge Orchid,Orchidaceae,Critically Endangered,Critically Endangered
Daphoenositta chrysoptera,Varied Sittella,Neosittidae,Vulnerable,Vulnerable
Dasyurus maculatus maculatus,Spotted-tailed Quoll,Dasyuridae,Vulnerable,Vulnerable
Dasyurus viverrinus,Eastern Quoll,dasyuridae,Endangered,Endangered
Delma impar,Striped Legless Lizard,Pygopodidae,Vulnerable,Vulnerable
Euastacus armatus,Murray River Crayfish,Parastacidae,Vulnerable,Vulnerable
Eucalyptus aggregata,Black Gum,Myrtaceae,Vulnerable,Vulnerable
Gadopsis bispinosus,Two-spined Blackfish,Percichthyidae,Vulnerable,Vulnerable
Gentiana baeuerlenii,Baeuerlen's Gentian,Gentianaceae,Endangered,Endangered
Grantiella picta,Painted Honeyeater,Meliphagidae,Vulnerable,Vulnerable
Hieraaetus morphnoides,Little Eagle,Accipitridae,Vulnerable,Vulnerable
Hirundapus caudacutus,White-throated Needletail,Apodidae,Vulnerable,Vulnerable
Isoodon obesulus obesulus,Southern Brown Bandicoot,Peramelidae,Endangered,Endangered
Lalage tricolor,White-winged Triller,Campephagidae,Vulnerable,Vulnerable
Lathamus discolor,Swift Parrot,Psittacidae,Critically Endangered,Critically Endangered
Lepidium ginninderrense,Ginninderra Peppercress,Brassicaceae,Endangered,Endangered
Litoria aurea,Green and Golden Bell Frog,Hylidae,Vulnerable,Vulnerable
Litoria castanea,Yellow-spotted Bell Frog,Hylidae,Critically Endangered,Critically Endangered
Litoria raniformis,Southern Bell Frog,Hylidae,Vulnerable,Vulnerable
Litoria verreauxii alpina,Alpine Tree Frog,Hylidae,Vulnerable,Vulnerable
Maccullochella macquariensis,Trout Cod,Percichthyidae,Endangered,Endangered
Macquaria australasica,Macquarie Perch,Percichthyidae,Endangered,Endangered
Mastacomys fuscus mordicus,Broad-toothed Rat,Muridae,Vulnerable,Vulnerable
Melanodryas cucullata cucullata,Hooded Robin,Petroicidae,Vulnerable,Vulnerable
Muehlenbeckia tuggeranong,Tuggeranong Lignum,Polygonaceae,Endangered,Endangered
Perunga ochracea,Perunga Grasshopper,Acrididae,Vulnerable,Vulnerable
Petauroides volans,Greater Glider,Pseudocheiridae,Vulnerable,Vulnerable
Petrogale penicillata,Brush-tailed Rock-wallaby,Macropodidae,Endangered,Endangered
Petroica boodang,Scarlet Robin,Petroicidae,Vulnerable,Vulnerable
Phascolarctos cinereus,Koala,Phascolarctidae,Vulnerable,Vulnerable
Polytelis swainsonii,Superb Parrot,Psittacidae,Vulnerable,Vulnerable
Pomaderris pallida,Pale Pomaderris,Rhamnaceae,Vulnerable,Vulnerable
Prasophyllum petilum,Tarengo Leek Orchid,Orchidaceae,Endangered,Endangered
Pseudomys fumeus,Smoky Mouse,Muridae,Endangered,Endangered
Pseudomys novaehollandiae,New Holland Mouse,Muridae,Vulnerable,Vulnerable
Pseudophryne pengilleyi,Northern Corroboree Frog,Myobatrachidae,Critically Endangered,Critically Endangered
Pteropus poliocephalus,Grey-headed Flying-fox,Pteropodidae,Vulnerable,Vulnerable
Pterostylis oreophila,Kiandra Greenhood,Orchidaceae,Critically Endangered,Critically Endangered
Rostratula australis,Australian Painted Snipe,Rostratulidae,Endangered,Endangered
Rutidosis leptorhynchoides,Button Wrinklewort,Asteraceae,Endangered,Endangered
Swainsona recta,Small Purple Pea,Fabaceae,Endangered,Endangered
Synemon plana,Golden Sun Moth,Castniidae,Endangered,Endangered
Thesium australe,Austral Toadflax,Santalaceae,Vulnerable,Vulnerable
Tympanocryptis lineata,Grassland Earless Dragon,Agamidae,Endangered,Endangered
Tympanocryptis pinguicolla,Grassland Earless Dragon,Agamidae,Endangered,Endangered
