scientificName,class,family,sourceStatus,status,vernacularName,vernacularName_alt,,sensitivityZoneId
Abutilon oxycarpum,Angiospermae,Malvaceae,Rare,Rare,,,,SA
Acacia alcockii,Angiospermae,Leguminosae,Rare,Rare,Alcock's Wattle,,,SA
Acacia ammobia,Angiospermae,Leguminosae,Rare,Rare,,,,SA
Acacia araneosa,Angiospermae,Leguminosae,Endangered,Endangered,Spidery Wattle,Balcanoona Wattle,,SA
Acacia barattensis,Angiospermae,Leguminosae,Rare,Rare,Baratta Wattle,,,SA
Acacia carneorum,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Needle Wattle,Purple-wood Wattle,,SA
Acacia confluens,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Arkaroola Wattle,Wyrilda,,SA
Acacia cretacea,Angiospermae,Leguminosae,Endangered,Endangered,Chalky Wattle,Spindly Wattle,,SA
Acacia dodonaeifolia,Angiospermae,Leguminosae,Rare,Rare,Hop-bush Wattle,Sticky Wattle,,SA
Acacia enterocarpa,Angiospermae,Leguminosae,Endangered,Endangered,Jumping-jack Wattle,,,SA
Acacia erinacea,Angiospermae,Leguminosae,Rare,Rare,Prickly Wattle,,,SA
Acacia genistifolia,Angiospermae,Leguminosae,Endangered,Endangered,Broom Wattle,Spreading Wattle,,SA
