id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,Grouping,SPECIESTYPE,NSXCODE,vernacular name,Clarifier,Threaten a species/environment;,Threaten someones privacy;,Reason
24233,Tiliqua adelaidensis ,Pygmy Bluetongue,Tiliqua adelaidensis,https://biodiversity.org.au/afd/taxa/a70c19ab-7d61-4e14-91ff-c81e54cbea9f,dr884,"[{'key': 'Grouping', 'value': 'Reptiles'}, {'key': 'SPECIESTYPE', 'value': 'R'}, {'key': 'NSXCODE', 'value': 'Y02572'}, {'key': 'vernacular name', 'value': 'Pygmy Blue-tongue Lizard (listed as Pygmy Bluetongue under SA NPW Act)'}, {'key': 'Clarifier', 'value': 'All known location and burrow records'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Threaten someones privacy;', 'value': 'y'}, {'key': 'Reason', 'value': 'The Pygmy Blue-tongue Lizard is endemic to SA and listed as Endangered under the EPBC and SA NP&W Acts. This is a sedentary species with a restricted distribution. Majority of the known locations (including burrows) have been recorded on private land. The species may become subject to international trade. Data restrictions are consistent with the conservation Objectives of The Action Plan for Australian Reptiles (1993) and National Recovery Plan (2012). '}]",Reptiles,R,Y02572,Pygmy Blue-tongue Lizard (listed as Pygmy Bluetongue under SA NPW Act),All known location and burrow records,y,y,The Pygmy Blue-tongue Lizard is endemic to SA and listed as Endangered under the EPBC and SA NP&W Acts. This is a sedentary species with a restricted distribution. Majority of the known locations (including burrows) have been recorded on private land. The species may become subject to international trade. Data restrictions are consistent with the conservation Objectives of The Action Plan for Australian Reptiles (1993) and National Recovery Plan (2012). 
24377,Calyptorhynchus banksii graptogyne,Red-tailed Black Cockatoo (south-east),Calyptorhynchus (Calyptorhynchus) banksii graptogyne,https://biodiversity.org.au/afd/taxa/f8ecc7e3-47fc-494a-907c-c444ce843e73,dr884,"[{'key': 'Grouping', 'value': 'Cockatoos'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'Y09312'}, {'key': 'vernacular name', 'value': 'Red-tailed Black-Cockatoo (south east subspecies)'}, {'key': 'Clarifier', 'value': 'All known nest hollows and artificial nest boxes.'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.'}]",Cockatoos,B,Y09312,Red-tailed Black-Cockatoo (south east subspecies),All known nest hollows and artificial nest boxes.,y,,"These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA."
24336,Calyptorhynchus lathami halmaturinus ,Glossy Black-cockatoo (kangaroo Island Subspecies),Calyptorhynchus (Calyptorhynchus) lathami halmaturinus,https://biodiversity.org.au/afd/taxa/d2f5121c-ab9e-4241-a2d8-3c625c4445bd,dr884,"[{'key': 'Grouping', 'value': 'Cockatoos'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'C00265'}, {'key': 'vernacular name', 'value': 'Glossy Black-Cockatoo (Kangaroo Island subspecies)'}, {'key': 'Clarifier', 'value': 'All known nest hollows and artificial nest boxes.'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.'}]",Cockatoos,B,C00265,Glossy Black-Cockatoo (Kangaroo Island subspecies),All known nest hollows and artificial nest boxes.,y,,"These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA."
24331,Lophochroa leadbeateri ,Major Mitchell's Cockatoo,Lophochroa leadbeateri,https://biodiversity.org.au/afd/taxa/5815e99d-01cd-4a92-99ba-36f480c4834d,dr884,"[{'key': 'Grouping', 'value': 'Cockatoos'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'U00270'}, {'key': 'vernacular name', 'value': ""Major Mitchell's Cockatoo (listed as Cacatua leadbeateri under SA NPW Act)""}, {'key': 'Clarifier', 'value': 'All known nest hollows and artificial nest boxes.'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.'}]",Cockatoos,B,U00270,Major Mitchell's Cockatoo (listed as Cacatua leadbeateri under SA NPW Act),All known nest hollows and artificial nest boxes.,y,,"These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA."
24267,Calyptorhynchus funereus,Yellow-tailed Black-cockatoo,Zanda funerea,https://biodiversity.org.au/afd/taxa/145b081d-eca7-4d9b-9171-b97e2d061536,dr884,"[{'key': 'Grouping', 'value': 'Cockatoos'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'G00267'}, {'key': 'vernacular name', 'value': 'Yellow-tailed Black Cockatoo'}, {'key': 'Clarifier', 'value': 'All known nest hollows and artificial nest boxes.'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'some associated subspecies records are sensitive'}]",Cockatoos,B,G00267,Yellow-tailed Black Cockatoo,All known nest hollows and artificial nest boxes.,y,,some associated subspecies records are sensitive
24211,Euastacus bispinosa,Glenelg Spiny Crayfish,Euastacus bispinosus,https://biodiversity.org.au/afd/taxa/fa41771a-56b3-47bc-a5c9-3db5f768c154,dr884,"[{'key': 'SPECIESTYPE', 'value': 'Crustacean'}, {'key': 'NSXCODE', 'value': 'n/a'}, {'key': 'vernacular name', 'value': ' Glenelg Spiny Freshwater Crayfish (SA: South-east Crayfish) (listed as South-east Crayfish under SA FM Act)'}, {'key': 'Clarifier', 'value': 'All known location records'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'The Glenelg Spiny Freshwater Crayfish is listed as Endangered under the EPBC Act and Protected in SA under the FM Act. The natural distribution of the Glenelg spiny freshwater crayfish is restricted to the Glenelg River system in south-western Victoria and five spring-fed coastal streams in south-eastern South Australia including the Ewen Ponds system. Fishing has been a major historic threat to the Glenelg spiny freshwater crayfish. Life history characteristics of the species, particularly slow growth and significant age before sexual maturity, make it difficult for the species to withstand even a low level of removal by fishermen.'}]",,Crustacean,n/a, Glenelg Spiny Freshwater Crayfish (SA: South-east Crayfish) (listed as South-east Crayfish under SA FM Act),All known location records,y,,"The Glenelg Spiny Freshwater Crayfish is listed as Endangered under the EPBC Act and Protected in SA under the FM Act. The natural distribution of the Glenelg spiny freshwater crayfish is restricted to the Glenelg River system in south-western Victoria and five spring-fed coastal streams in south-eastern South Australia including the Ewen Ponds system. Fishing has been a major historic threat to the Glenelg spiny freshwater crayfish. Life history characteristics of the species, particularly slow growth and significant age before sexual maturity, make it difficult for the species to withstand even a low level of removal by fishermen."
24327,Nephrurus deleani ,Pernatty Knob-tailed Gecko,Nephrurus deleani,https://biodiversity.org.au/afd/taxa/06125aff-65f8-44f1-bb4a-afa372cb8180,dr884,"[{'key': 'Grouping', 'value': 'Reptiles'}, {'key': 'SPECIESTYPE', 'value': 'R'}, {'key': 'NSXCODE', 'value': 'U02102'}, {'key': 'vernacular name', 'value': 'Pernatty Knob-tailed Gecko'}, {'key': 'Clarifier', 'value': 'All known location records'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Threaten someones privacy;', 'value': 'y'}, {'key': 'Reason', 'value': 'The Pernatty Knob-tailed Gecko is endemic to SA and listed as Rare under the SA NP&W Act. The species has a restricted and patchy distribution and has been recorded on private land.  The species was identified as one of the top five non-CITES reptiles that are known or likely to be in international trade (UNEP-WCMC, 2009). Data restrictions are consistent with the conservation Objectives of The Action Plan for Australian Reptiles (1993).'}]",Reptiles,R,U02102,Pernatty Knob-tailed Gecko,All known location records,y,y,"The Pernatty Knob-tailed Gecko is endemic to SA and listed as Rare under the SA NP&W Act. The species has a restricted and patchy distribution and has been recorded on private land.  The species was identified as one of the top five non-CITES reptiles that are known or likely to be in international trade (UNEP-WCMC, 2009). Data restrictions are consistent with the conservation Objectives of The Action Plan for Australian Reptiles (1993)."
24203,Polytelis anthopeplus monarchoides,Regent Parrot (eastern Subspecies),Polytelis anthopeplus monarchoides,https://biodiversity.org.au/afd/taxa/1958a1ff-0233-4257-9f8c-032dcadb6fea,dr884,"[{'key': 'Grouping', 'value': 'Parrots'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'C04381'}, {'key': 'vernacular name', 'value': 'Regent Parrot (eastern subspecies)'}, {'key': 'Clarifier', 'value': 'All known nest hollows and artificial nest boxes at known breeding sites.'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).'}]",Parrots,B,C04381,Regent Parrot (eastern subspecies),All known nest hollows and artificial nest boxes at known breeding sites.,y,,These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).
24322,Polytelis alexandrae,Alexandra's Parrot,Polytelis alexandrae,https://biodiversity.org.au/afd/taxa/be7a08f5-387f-4156-91e2-77f0d3d09d8c,dr884,"[{'key': 'Grouping', 'value': 'Parrots'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'Z00279'}, {'key': 'Clarifier', 'value': 'All known nest hollows and artificial nest boxes at known breeding sites.'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).'}]",Parrots,B,Z00279,,All known nest hollows and artificial nest boxes at known breeding sites.,y,,These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).
24253,Neophema splendida ,Scarlet-chested Parrot,Neophema (Neophema) splendida,https://biodiversity.org.au/afd/taxa/45e4f886-5d69-4b1c-98c0-2178c194f9c7,dr884,"[{'key': 'Grouping', 'value': 'Parrots'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'G00303'}, {'key': 'Clarifier', 'value': 'All known nest hollows and artificial nest boxes at known breeding sites.'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).'}]",Parrots,B,G00303,,All known nest hollows and artificial nest boxes at known breeding sites.,y,,These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).
24307,Lophoictinia isura,Square-tailed Kite,Lophoictinia isura,https://biodiversity.org.au/afd/taxa/715a2874-1942-4762-866c-1194990e7a91,dr884,"[{'key': 'Grouping', 'value': 'Raptors'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'E00230'}, {'key': 'Clarifier', 'value': 'All known nests on natural and artificial structures'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).'}]",Raptors,B,E00230,,All known nests on natural and artificial structures,y,,These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).
24335,Elanus scriptus,Letter-winged Kite,Elanus scriptus,https://biodiversity.org.au/afd/taxa/4a6524fb-b256-4790-a877-e5f10502da93,dr884,"[{'key': 'Grouping', 'value': 'Raptors'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'K00233'}, {'key': 'Clarifier', 'value': 'All known nests on natural and artificial structures'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).'}]",Raptors,B,K00233,,All known nests on natural and artificial structures,y,,These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).
24364,Falco hypoleucos,Grey Falcon,Falco (Hierofalco) hypoleucos,https://biodiversity.org.au/afd/taxa/4c73a934-63ae-417d-af40-56a82ae68371,dr884,"[{'key': 'Grouping', 'value': 'Raptors'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'Q00236'}, {'key': 'Clarifier', 'value': 'All known nests on natural and artificial structures'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).'}]",Raptors,B,Q00236,,All known nests on natural and artificial structures,y,,These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).
24360,Falco peregrinus,Duck Hawk,Falco (Hierofalco) peregrinus,https://biodiversity.org.au/afd/taxa/083b413f-8746-4788-8dc1-3da495d78a79,dr884,"[{'key': 'Grouping', 'value': 'Raptors'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'S00237'}, {'key': 'Clarifier', 'value': 'All known nests on natural and artificial structures'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).'}]",Raptors,B,S00237,,All known nests on natural and artificial structures,y,,These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).
24357,Haliaeetus leucogaster,White-bellied Sea-eagle,Haliaeetus (Pontoaetus) leucogaster,https://biodiversity.org.au/afd/taxa/dc420306-4746-4663-9c2d-cf367587f728,dr884,"[{'key': 'Grouping', 'value': 'Raptors'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'M00226'}, {'key': 'Clarifier', 'value': 'All known nests on natural and artificial structures and breeding territories. Proposed establishment of ‘~1.5 km buffer zones’ around known nest sites to limit disturbance by humans or human activity (Dennis, 2012).'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'Both species are listed as Endangered under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (e.g. Vic/WA for White-bellied Sea-Eagle and NSW for Osprey).'}]",Raptors,B,M00226,,"All known nests on natural and artificial structures and breeding territories. Proposed establishment of ‘~1.5 km buffer zones’ around known nest sites to limit disturbance by humans or human activity (Dennis, 2012).",y,,Both species are listed as Endangered under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (e.g. Vic/WA for White-bellied Sea-Eagle and NSW for Osprey).
24224,Pandion cristatus,Fish Hawk,Pandion haliaetus cristatus,https://biodiversity.org.au/afd/taxa/e61096e6-7685-45bd-b5ae-922cce74c254,dr884,"[{'key': 'Grouping', 'value': 'Raptors'}, {'key': 'SPECIESTYPE', 'value': 'B'}, {'key': 'NSXCODE', 'value': 'K00241'}, {'key': 'vernacular name', 'value': 'Eastern Osprey (listed as Pandion haliaetus – Osprey under SA NPW Act)'}, {'key': 'Clarifier', 'value': 'All known nests on natural and artificial structures and breeding territories. Proposed establishment of ‘~1.5 km buffer zones’ around known nest sites to limit disturbance by humans or human activity (Dennis, 2012).'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'Both species are listed as Endangered under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (e.g. Vic/WA for White-bellied Sea-Eagle and NSW for Osprey).'}]",Raptors,B,K00241,Eastern Osprey (listed as Pandion haliaetus – Osprey under SA NPW Act),"All known nests on natural and artificial structures and breeding territories. Proposed establishment of ‘~1.5 km buffer zones’ around known nest sites to limit disturbance by humans or human activity (Dennis, 2012).",y,,Both species are listed as Endangered under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (e.g. Vic/WA for White-bellied Sea-Eagle and NSW for Osprey).
24281,Santalum spicatum,Sandalwood,Santalum spicatum,https://id.biodiversity.org.au/node/apni/2907960,dr884,"[{'key': 'Grouping', 'value': 'Santalum'}, {'key': 'SPECIESTYPE', 'value': 'P'}, {'key': 'NSXCODE', 'value': 'C00953'}, {'key': 'vernacular name', 'value': 'Sandalwood'}, {'key': 'Clarifier', 'value': 'Grid references, lats and longs, detailed location descriptions'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'Santalum spicatum is listed as Vulnerable under the SA NP&W Act and is at risk of illegal collection. The aromatic oils in the wood is highly valued by illegal traders supplying an export market. Denaturing spatial data will make wild populations more difficult to locate. Santalum lanceolatum is not listed under the EPBC Act or NPW Act, but it also produces aromatic oils and is sometimes confused with S. spicatum.'}]",Santalum,P,C00953,Sandalwood,"Grid references, lats and longs, detailed location descriptions",y,,"Santalum spicatum is listed as Vulnerable under the SA NP&W Act and is at risk of illegal collection. The aromatic oils in the wood is highly valued by illegal traders supplying an export market. Denaturing spatial data will make wild populations more difficult to locate. Santalum lanceolatum is not listed under the EPBC Act or NPW Act, but it also produces aromatic oils and is sometimes confused with S. spicatum."
24302,Santalum lanceolatum,Northern Sandalwood,Santalum lanceolatum,https://id.biodiversity.org.au/node/apni/2908232,dr884,"[{'key': 'Grouping', 'value': 'Santalum'}, {'key': 'SPECIESTYPE', 'value': 'P'}, {'key': 'NSXCODE', 'value': 'W00951'}, {'key': 'vernacular name', 'value': 'Plumbush'}, {'key': 'Clarifier', 'value': 'Grid references, lats and longs, detailed location descriptions'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'Santalum spicatum is listed as Vulnerable under the SA NP&W Act and is at risk of illegal collection. The aromatic oils in the wood is highly valued by illegal traders supplying an export market. Denaturing spatial data will make wild populations more difficult to locate. Santalum lanceolatum is not listed under the EPBC Act or NPW Act, but it also produces aromatic oils and is sometimes confused with S. spicatum.'}]",Santalum,P,W00951,Plumbush,"Grid references, lats and longs, detailed location descriptions",y,,"Santalum spicatum is listed as Vulnerable under the SA NP&W Act and is at risk of illegal collection. The aromatic oils in the wood is highly valued by illegal traders supplying an export market. Denaturing spatial data will make wild populations more difficult to locate. Santalum lanceolatum is not listed under the EPBC Act or NPW Act, but it also produces aromatic oils and is sometimes confused with S. spicatum."
24232,Callitriche umbonata,Water Starwort,Callitriche umbonata,https://id.biodiversity.org.au/node/apni/2900062,dr884,"[{'key': 'Grouping', 'value': 'Aquatics'}, {'key': 'SPECIESTYPE', 'value': 'P'}, {'key': 'NSXCODE', 'value': 'G03419'}, {'key': 'vernacular name', 'value': 'Water Starwort'}, {'key': 'Clarifier', 'value': 'Grid references, lats and longs, detailed location descriptions'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.'}]",Aquatics,P,G03419,Water Starwort,"Grid references, lats and longs, detailed location descriptions",y,,"All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade."
24227,Craspedia paludicola,Swamp Buttons,Craspedia paludicola,https://id.biodiversity.org.au/node/apni/6978320,dr884,"[{'key': 'Grouping', 'value': 'Aquatics'}, {'key': 'SPECIESTYPE', 'value': 'P'}, {'key': 'NSXCODE', 'value': 'A05560'}, {'key': 'vernacular name', 'value': 'Swamp Buttons'}, {'key': 'Clarifier', 'value': 'Grid references, lats and longs, detailed location descriptions'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.'}]",Aquatics,P,A05560,Swamp Buttons,"Grid references, lats and longs, detailed location descriptions",y,,"All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade."
24275,Gentianella gunniana,Gunn's Forest-gentian,Gentianella gunniana,https://id.biodiversity.org.au/node/apni/2908181,dr884,"[{'key': 'Grouping', 'value': 'Aquatics'}, {'key': 'SPECIESTYPE', 'value': 'P'}, {'key': 'NSXCODE', 'value': 'C02473'}, {'key': 'vernacular name', 'value': 'Mountain Gentian'}, {'key': 'Clarifier', 'value': 'Grid references, lats and longs, detailed location descriptions'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.'}]",Aquatics,P,C02473,Mountain Gentian,"Grid references, lats and longs, detailed location descriptions",y,,"All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade."
24294,Lycopodiella serpentina,Bog Clubmoss,Lycopodiella serpentina,https://id.biodiversity.org.au/node/apni/2905113,dr884,"[{'key': 'Grouping', 'value': 'Aquatics'}, {'key': 'SPECIESTYPE', 'value': 'P'}, {'key': 'NSXCODE', 'value': 'K00021'}, {'key': 'vernacular name', 'value': 'Bog Clubmoss'}, {'key': 'Clarifier', 'value': 'Grid references, lats and longs, detailed location descriptions'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.'}]",Aquatics,P,K00021,Bog Clubmoss,"Grid references, lats and longs, detailed location descriptions",y,,"All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade."
24316,Lycopodium deuterodensum,Bushy Clubmoss,Lycopodium deuterodensum,https://id.biodiversity.org.au/node/apni/2894158,dr884,"[{'key': 'Grouping', 'value': 'Aquatics'}, {'key': 'SPECIESTYPE', 'value': 'P'}, {'key': 'NSXCODE', 'value': 'W00019'}, {'key': 'vernacular name', 'value': 'Bushy Clubmoss'}, {'key': 'Clarifier', 'value': 'Grid references, lats and longs, detailed location descriptions'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.'}]",Aquatics,P,W00019,Bushy Clubmoss,"Grid references, lats and longs, detailed location descriptions",y,,"All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade."
24370,Montia fontana ssp. chondrosperma,Waterblinks,Montia fontana ssp. chondrosperma,ALA_DR653_390,dr884,"[{'key': 'Grouping', 'value': 'Aquatics'}, {'key': 'SPECIESTYPE', 'value': 'P'}, {'key': 'NSXCODE', 'value': 'E01058'}, {'key': 'vernacular name', 'value': 'Waterblinks'}, {'key': 'Clarifier', 'value': 'Grid references, lats and longs, detailed location descriptions'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.'}]",Aquatics,P,E01058,Waterblinks,"Grid references, lats and longs, detailed location descriptions",y,,"All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade."
24246,Najas tenuifolia,Water Nymph,Najas tenuifolia,https://id.biodiversity.org.au/node/apni/2899774,dr884,"[{'key': 'Grouping', 'value': 'Aquatics'}, {'key': 'SPECIESTYPE', 'value': 'P'}, {'key': 'NSXCODE', 'value': 'E00098'}, {'key': 'vernacular name', 'value': 'Water Nymph'}, {'key': 'Clarifier', 'value': 'Grid references, lats and longs, detailed location descriptions'}, {'key': 'Threaten a species/environment;', 'value': 'y'}, {'key': 'Reason', 'value': 'All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.'}]",Aquatics,P,E00098,Water Nymph,"Grid references, lats and longs, detailed location descriptions",y,,"All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade."
